accelX,accelY,accelZ,timestamp
-118.950005,35.100002,984.75,105346
-126.75,31.200001,986.700012,105350
-122.850006,39,982.800049,105354
-126.75,40.950001,988.650024,105358
-122.850006,40.950001,988.650024,105362
-124.800003,40.950001,984.75,105366
-118.950005,31.200001,980.850037,105370
-118.950005,33.150002,978.900024,105374
-126.75,29.25,982.800049,105378
-124.800003,27.300001,984.75,105382
-124.800003,33.150002,984.75,105386
-120.900002,39,982.800049,105390
-122.850006,25.35,978.900024,105394
-126.75,27.300001,980.850037,105398
-132.600006,33.150002,978.900024,105402
-128.699997,37.049999,976.950012,105406
-126.75,40.950001,978.900024,105410
-122.850006,33.150002,982.800049,105414
-120.900002,31.200001,982.800049,105418
-126.75,27.300001,980.850037,105422
-128.699997,33.150002,980.850037,105426
-132.600006,33.150002,984.75,105430
-126.75,29.25,984.75,105434
-122.850006,27.300001,988.650024,105438
-128.699997,37.049999,978.900024,105442
-132.600006,37.049999,976.950012,105446
-128.699997,31.200001,984.75,105450
-128.699997,33.150002,986.700012,105454
-126.75,37.049999,982.800049,105458
-134.550003,35.100002,984.75,105462
-130.650009,35.100002,982.800049,105466
-132.600006,31.200001,980.850037,105470
-132.600006,37.049999,984.75,105474
-132.600006,29.25,984.75,105478
-130.650009,35.100002,978.900024,105482
-132.600006,35.100002,992.550049,105486
-130.650009,25.35,990.600037,105490
-124.800003,29.25,980.850037,105494
-126.75,29.25,984.75,105498
-126.75,33.150002,984.75,105502
-124.800003,31.200001,990.600037,105506
-120.900002,33.150002,980.850037,105510
-126.75,35.100002,975,105514
-124.800003,27.300001,978.900024,105518
-126.75,33.150002,980.850037,105522
-124.800003,33.150002,978.900024,105526
-124.800003,31.200001,976.950012,105530
-130.650009,31.200001,986.700012,105534
-128.699997,33.150002,982.800049,105538
-132.600006,37.049999,980.850037,105542
-130.650009,35.100002,988.650024,105546
-124.800003,35.100002,986.700012,105550
-128.699997,31.200001,980.850037,105554
-134.550003,31.200001,988.650024,105558
-132.600006,23.400002,982.800049,105562
-128.699997,25.35,978.900024,105566
-124.800003,27.300001,975,105570
-130.650009,35.100002,988.650024,105574
-122.850006,31.200001,986.700012,105578
-117,40.950001,984.75,105582
-120.900002,42.900002,980.850037,105586
-128.699997,33.150002,984.75,105590
-128.699997,33.150002,982.800049,105594
-124.800003,33.150002,982.800049,105598
-130.650009,27.300001,988.650024,105602
-132.600006,31.200001,986.700012,105606
-134.550003,37.049999,982.800049,105610
-128.699997,37.049999,982.800049,105614
-128.699997,37.049999,988.650024,105618
-130.650009,35.100002,984.75,105622
